K_cap,group_size,max_offspring,threshold,type,beta,rep,extinct,time_to_extinction
1000,3,6,1,FALSE,1,1,1,349
250,5,6,1,FALSE,1,1,1,383
500,5,6,1,FALSE,1,1,1,421
1000,5,6,1,FALSE,1,1,1,392
250,10,6,1,FALSE,1,1,1,397
500,10,6,1,FALSE,1,1,1,361
1000,10,6,1,FALSE,1,1,1,396
250,1,10,1,FALSE,1,1,1,328
500,1,10,1,FALSE,1,1,1,398
1000,1,10,1,FALSE,1,1,1,497
250,3,10,1,FALSE,1,1,1,397
500,3,10,1,FALSE,1,1,1,413
1000,3,10,1,FALSE,1,1,1,456
250,5,10,1,FALSE,1,1,1,416
500,5,10,1,FALSE,1,1,1,414
1000,5,10,1,FALSE,1,1,1,431
250,10,10,1,FALSE,1,1,1,371
500,10,10,1,FALSE,1,1,1,405
1000,10,10,1,FALSE,1,1,1,401
250,1,3,0,TRUE,2,1,1,276
500,1,3,0,TRUE,2,1,1,316
1000,1,3,0,TRUE,2,1,1,356
250,3,3,0,TRUE,2,1,1,309
500,3,3,0,TRUE,2,1,1,393
1000,3,3,0,TRUE,2,1,1,368
250,5,3,0,TRUE,2,1,1,337
500,5,3,0,TRUE,2,1,1,434
1000,5,3,0,TRUE,2,1,1,397
250,10,3,0,TRUE,2,1,1,362
500,10,3,0,TRUE,2,1,1,415
1000,10,3,0,TRUE,2,1,0,NA
250,1,6,0,TRUE,2,1,1,325
500,1,6,0,TRUE,2,1,1,339
1000,1,6,0,TRUE,2,1,1,384
250,3,6,0,TRUE,2,1,1,365
500,3,6,0,TRUE,2,1,1,372
1000,3,6,0,TRUE,2,1,1,377
250,5,6,0,TRUE,2,1,1,377
500,5,6,0,TRUE,2,1,1,487
1000,5,6,0,TRUE,2,1,0,NA
250,10,6,0,TRUE,2,1,1,462
500,10,6,0,TRUE,2,1,0,NA
1000,10,6,0,TRUE,2,1,0,NA
250,1,10,0,TRUE,2,1,1,416
500,1,10,0,TRUE,2,1,1,382
1000,1,10,0,TRUE,2,1,1,411
250,3,10,0,TRUE,2,1,0,NA
500,3,10,0,TRUE,2,1,1,441
1000,3,10,0,TRUE,2,1,0,NA
250,5,10,0,TRUE,2,1,0,NA
500,5,10,0,TRUE,2,1,0,NA
1000,5,10,0,TRUE,2,1,0,NA
250,10,10,0,TRUE,2,1,0,NA
500,10,10,0,TRUE,2,1,0,NA
1000,10,10,0,TRUE,2,1,0,NA
250,1,3,0.25,TRUE,2,1,1,272
500,1,3,0.25,TRUE,2,1,1,341
1000,1,3,0.25,TRUE,2,1,1,345
250,3,3,0.25,TRUE,2,1,1,382
500,3,3,0.25,TRUE,2,1,1,374
1000,3,3,0.25,TRUE,2,1,1,421
250,5,3,0.25,TRUE,2,1,1,463
500,5,3,0.25,TRUE,2,1,1,427
1000,5,3,0.25,TRUE,2,1,1,418
250,10,3,0.25,TRUE,2,1,1,417
500,10,3,0.25,TRUE,2,1,0,NA
1000,10,3,0.25,TRUE,2,1,0,NA
250,1,6,0.25,TRUE,2,1,1,364
500,1,6,0.25,TRUE,2,1,1,380
1000,1,6,0.25,TRUE,2,1,1,428
250,3,6,0.25,TRUE,2,1,1,383
500,3,6,0.25,TRUE,2,1,1,444
1000,3,6,0.25,TRUE,2,1,0,NA
250,5,6,0.25,TRUE,2,1,1,484
500,5,6,0.25,TRUE,2,1,0,NA
1000,5,6,0.25,TRUE,2,1,0,NA
250,10,6,0.25,TRUE,2,1,0,NA
500,10,6,0.25,TRUE,2,1,0,NA
1000,10,6,0.25,TRUE,2,1,0,NA
250,1,10,0.25,TRUE,2,1,1,415
500,1,10,0.25,TRUE,2,1,1,426
1000,1,10,0.25,TRUE,2,1,1,436
250,3,10,0.25,TRUE,2,1,0,NA
500,3,10,0.25,TRUE,2,1,0,NA
1000,3,10,0.25,TRUE,2,1,0,NA
250,5,10,0.25,TRUE,2,1,0,NA
500,5,10,0.25,TRUE,2,1,0,NA
1000,5,10,0.25,TRUE,2,1,0,NA
250,10,10,0.25,TRUE,2,1,0,NA
500,10,10,0.25,TRUE,2,1,0,NA
1000,10,10,0.25,TRUE,2,1,0,NA
250,1,3,0.5,TRUE,2,1,1,275
500,1,3,0.5,TRUE,2,1,1,369
1000,1,3,0.5,TRUE,2,1,1,339
250,3,3,0.5,TRUE,2,1,1,449
500,3,3,0.5,TRUE,2,1,0,NA
1000,3,3,0.5,TRUE,2,1,0,NA
250,5,3,0.5,TRUE,2,1,1,442
500,5,3,0.5,TRUE,2,1,1,441
1000,5,3,0.5,TRUE,2,1,0,NA
250,10,3,0.5,TRUE,2,1,1,489
500,10,3,0.5,TRUE,2,1,0,NA
1000,10,3,0.5,TRUE,2,1,0,NA
250,1,6,0.5,TRUE,2,1,1,360
500,1,6,0.5,TRUE,2,1,1,340
1000,1,6,0.5,TRUE,2,1,1,393
250,3,6,0.5,TRUE,2,1,1,485
500,3,6,0.5,TRUE,2,1,0,NA
1000,3,6,0.5,TRUE,2,1,0,NA
250,5,6,0.5,TRUE,2,1,1,500
